y_pred_prob,y_true
0.4974078,0
0.56490684,0
0.5382143,0
0.3654615,0
0.4788826,0
0.35043097,0
0.682114,1
0.38814247,0
0.5179753,1
0.4259373,0
0.34803948,0
0.54226625,0
0.51196843,1
0.6017501,1
0.54593736,0
0.6411153,1
0.55778325,0
0.43228006,0
0.5514016,0
0.558289,0
0.610325,1
0.5708637,0
0.39166126,0
0.38300905,0
0.5642604,1
0.4989646,0
0.49042806,0
0.3384812,0
0.5137139,0
0.33501422,0
0.39619988,1
0.6723566,1
0.5590156,0
0.4692819,1
0.6812034,1
0.5600251,0
0.3575973,0
0.5761916,1
0.49399042,0
0.5917981,0
0.3870116,0
0.3819113,0
0.6263771,0
0.5256064,0
0.5374428,1
0.52850777,0
0.5660271,0
0.5898003,1
0.37515658,0
0.61462533,0
0.58059746,0
0.38293588,0
0.5760957,1
0.4207482,0
0.56612825,0
0.6134866,0
0.37330693,0
0.57540005,0
0.54341817,1
0.5557543,0
0.32726827,0
0.33524394,0
0.55990994,1
0.30682212,0
0.50914633,0
0.55173784,0
0.39619622,0
0.4984177,0
0.3215773,0
0.3714431,0
0.72670615,1
0.44575718,0
0.4576046,0
0.33281755,0
0.4076156,0
0.4693657,0
0.5839509,0
0.57236737,0
0.58761996,0
0.5894036,1
0.5273316,1
0.4210748,0
0.42697102,0
0.5429189,0
0.4923674,0
0.5597695,1
0.3716959,0
0.3504737,0
0.5998878,0
0.5504521,0
0.54350054,0
0.6151042,1
0.5318966,0
0.44283864,0
0.57447857,0
0.36303127,0
0.50528646,0
0.30333203,0
0.59526557,0
0.64368,1
0.5511483,0
0.6084001,0
0.3773234,0
0.54196846,0
0.56640697,0
0.54070514,1
0.57500106,1
0.548376,0
0.37421834,0
0.37524092,0
0.5992453,0
0.5715727,0
0.56092024,0
0.5091132,0
0.57313836,0
0.50398713,1
0.52099526,0
0.5322359,0
0.5662954,0
0.5935207,0
0.5135665,0
0.44437665,0
0.2881078,0
0.3158372,0
0.36979264,0
0.56337494,0
0.3423019,0
0.6112454,0
0.55387795,0
0.5098478,1
0.5134839,0
0.35685092,0
0.5744974,0
0.55791223,0
0.4556786,0
0.5723391,1
0.68894815,0
0.5597384,0
0.4794918,0
0.33805108,0
0.5546247,1
0.39646518,0
0.500186,0
0.37631196,0
0.352755,0
0.5386482,0
0.53929627,0
0.43916154,0
0.50736016,1
0.37910086,0
0.5065406,1
0.59610325,0
0.54804945,1
0.5134043,0
0.5252247,0
0.5800389,0
0.5943618,0
0.48664248,0
0.5894532,0
0.5532122,0
0.42425478,0
0.35114104,0
0.5250448,0
0.3414769,0
0.40240034,0
0.57359016,0
0.26585203,0
0.57906383,0
0.5674926,0
0.35481864,0
0.38858062,0
0.4034221,0
0.4491945,0
0.5619625,0
0.37155446,0
0.5477349,0
0.5664569,1
0.53083205,0
0.5078452,1
0.40038842,0
0.40371054,1
0.5282042,1
0.5922719,1
0.3298313,0
0.32468873,0
0.47853392,0
0.5145687,0
0.5902701,0
0.35286742,0
0.5253491,0
0.5814235,1
0.57105386,0
0.59878874,0
0.5304275,0
0.5260126,0
0.5999391,0
0.3551085,0
0.36099362,0
0.52747345,0
0.539971,0
0.51406085,0
0.5308175,1
0.43749636,1
0.3588075,0
0.32096723,0
0.41423663,0
0.5968886,1
0.56136286,0
0.60274154,1
0.42817932,0
0.4579834,0
0.3874077,0
0.59376556,0
0.3662882,1
0.34298536,0
0.5580079,0
0.35339388,0
0.6692215,1
0.5610627,1
0.4463468,0
0.58146626,0
0.54554945,0
0.53769004,0
0.377261,0
0.3935735,0
0.3720102,0
0.3856226,0
0.5994514,1
0.5668565,1
0.43682343,0
0.3531491,0
0.39428696,0
0.4212284,0
0.5068714,1
0.35677707,0
0.4612087,0
0.43233687,0
0.55267996,0
0.49791873,1
0.6017711,1
0.6598098,0
0.4403848,0
0.43099627,0
0.42232782,0
0.5759273,1
0.575828,1
0.6241301,0
0.5650956,0
0.55191886,0
0.61025816,1
0.3861885,0
0.6129982,0
0.5411955,1
0.5841512,0
0.6172392,0
0.52670753,0
0.594327,1
0.346507,0
0.4090815,0
0.43149692,0
0.5321697,0
0.34865034,0
0.3910485,0
0.5703943,0
0.3687892,0
0.39014524,0
0.28614682,0
0.3833525,0
0.40942076,0
0.31818685,0
0.34194928,0
0.5379629,0
0.38003543,0
0.54937536,0
0.35400134,0
0.5736058,0
0.39519435,0
0.5869488,1
0.3295033,0
0.5979678,1
0.6041635,0
0.52820516,0
0.42828366,0
0.44842523,0
0.5579917,0
0.46722755,0
0.54296,1
0.5686052,0
0.35504335,0
0.43301874,0
0.34032297,0
0.33972877,0
0.5106969,1
0.36250514,0
0.3459524,0
0.36652195,0
0.35919315,0
0.47918135,0
0.37927747,0
0.670981,1
0.37360138,0
0.66015136,1
0.59769094,0
0.4233486,0
0.3738857,0
0.47821292,0
0.5476233,0
0.57981366,0
0.4637931,0
0.45745048,1
0.38178015,0
0.3687592,0
0.3955875,0
0.6787458,0
0.34288898,0
0.57802624,0
0.60095364,0
0.582694,0
0.33061323,0
0.38924927,0
0.35321003,0
0.38688225,0
0.55786693,1
0.40716168,0
0.59146196,1
0.5955595,0
0.57303107,0
0.36391807,0
0.56477994,0
0.5439412,1
0.67810637,0
0.55133736,0
0.5973401,0
0.41460148,0
0.4852511,1
0.5880844,0
0.5467541,1
0.42691308,1
0.31846535,0
0.5413122,1
0.4548279,0
0.50210124,0
0.54507416,0
0.5601723,1
0.55086845,0
0.4718947,1
0.5650977,0
0.5898126,1
0.3728666,0
0.36071306,0
0.4960508,0
0.6019006,0
0.3911979,0
0.36910832,0
0.31453276,0
0.5586982,0
0.43769372,0
0.55320156,0
0.4404661,0
0.5768292,1
0.5396587,0
0.5949273,1
0.5717041,0
0.38237727,0
0.60605526,0
0.54170585,0
0.5782376,0
0.40706906,0
0.4251691,0
0.568234,1
0.56006616,0
0.5610128,0
0.34526893,0
0.56534004,0
0.5448575,1
0.33738863,0
0.5605823,0
0.4103813,0
0.29977024,0
0.6668525,0
0.28684115,0
0.49770367,1
0.38765013,0
0.5442399,0
0.5188103,0
0.61068374,1
0.2687378,0
0.53674924,1
0.49636808,0
0.37590647,0
0.65495956,1
0.587724,0
0.54037,1
0.5762417,0
0.5576383,0
0.49711937,0
0.57415277,0
0.57914543,1
0.34607542,0
0.59169966,0
0.60041106,1
0.54741657,0
0.47613338,0
0.5170432,0
0.49433577,1
0.5382261,0
0.59529495,1
0.52736753,1
0.40356824,0
0.5202537,1
0.5327896,0
0.59510714,1
0.42163268,0
0.37357938,0
0.5781773,0
0.358146,1
0.58292013,0
0.51387227,0
0.33384985,0
0.55227757,0
0.33570546,0
0.5844223,0
0.5877663,0
0.3958228,0
0.5906075,1
0.6567179,0
0.33518857,0
0.5626976,0
0.312683,0
0.60719824,1
0.45235035,0
0.517838,1
0.4284035,0
0.35876417,0
0.56234366,0
0.36870092,0
0.3460012,0
0.5631678,0
0.48873603,0
0.6053608,0
0.55869716,0
0.31712514,1
0.5136369,0
0.6042259,0
0.50093704,1
0.5129795,0
0.5681295,0
0.51588655,0
0.38531578,0
0.4881251,1
0.39189482,0
0.604194,0
0.33367336,0
0.5978779,1
0.41040742,0
0.6135507,1
0.36320293,0
0.5414787,0
0.3290335,0
0.45481098,0
0.43242222,0
0.45346028,0
0.5864352,1
0.37221998,0
0.50036526,0
0.61913973,1
0.38510925,0
0.40112865,0
0.5855519,0
0.5941525,0
0.42903996,1
0.42911896,0
0.43482435,0
0.5607699,1
0.5552032,0
0.49193355,1
0.38535857,0
0.34473073,0
0.2821039,0
0.49817947,0
0.5690834,0
0.42203456,0
0.4550214,1
0.5781104,0
0.33991736,0
0.54973453,1
0.36758095,0
0.56046754,0
0.48913434,0
0.5914063,1
0.35835302,0
0.49711427,1
0.5698636,0
0.6704383,0
0.49930462,0
0.5423462,0
0.5330494,0
0.52929074,0
0.5661595,0
0.36361983,0
0.40546006,0
0.37280416,0
0.5369973,0
0.55131763,0
0.5468071,0
0.4369548,1
0.5454366,0
0.5797381,0
0.6053755,0
0.38833255,0
0.5672498,0
0.44779,0
0.53936106,0
0.435188,0
0.67429256,1
0.58605206,1
0.5476154,1
0.5328055,0
0.3500696,0
0.5437062,0
0.63384295,0
0.35448676,0
0.4030063,0
0.5599819,0
0.55433106,0
0.34070253,0
0.58861715,1
0.5323782,0
0.4735029,0
0.4119385,0
0.40064445,0
0.54681,1
0.51989377,1
0.5886549,0
0.3157941,0
0.41211948,0
0.32640767,0
0.59701854,0
0.53458315,0
0.37409136,0
0.48236904,0
0.37027568,0
0.41040254,0
0.4007988,0
0.37181646,0
0.3705947,0
0.45064008,0
0.51249886,0
0.48037234,0
0.5734107,0
0.5432209,1
0.51037574,0
0.5073115,0
0.4846433,0
0.49529213,0
0.58974206,0
0.6159485,1
0.44730762,0
0.5980059,0
0.3520401,0
0.45331383,1
0.28864598,0
0.39036477,0
0.4089249,1
0.39172867,0
0.5486019,0
0.5656162,1
0.41040373,1
0.5581629,1
0.6214665,0
0.49112636,1
0.5481361,0
0.34921038,0
0.53026557,0
0.3755011,0
0.4648872,0
